[20:32:26] [INFO] received Windows console close event; shutting log-core down
[20:34:27] [INFO] received Windows console close event; shutting log-core down
[20:37:54] [INFO] received Windows console close event; shutting log-core down
[20:39:06] [INFO] received Windows console close event; shutting log-core down
[20:42:16] [INFO] received Windows console close event; shutting log-core down
[10:11:00] [INFO] received Windows console close event; shutting log-core down
[10:12:15] [INFO] received Windows console close event; shutting log-core down
[10:13:57] [INFO] received Windows console close event; shutting log-core down
[10:15:46] [INFO] received Windows console close event; shutting log-core down
[10:18:52] [INFO] received Windows console close event; shutting log-core down
[12:14:50] [INFO] received Windows console close event; shutting log-core down
[12:42:15] [INFO] received Windows console close event; shutting log-core down
[12:43:37] [INFO] received Windows console close event; shutting log-core down
[15:09:51] [INFO] received Windows console close event; shutting log-core down
[15:11:56] [INFO] received Windows console close event; shutting log-core down
[15:14:18] [INFO] received Windows console close event; shutting log-core down
[15:15:15] [ERROR] exception 0XE06D7363 (<unknown>) from Unhandled Exception Handler catched; shutting log-core down
[15:17:29] [INFO] received Windows console close event; shutting log-core down
[15:18:41] [INFO] received Windows console close event; shutting log-core down
[16:41:28] [ERROR] exception 0XE06D7363 (<unknown>) from Unhandled Exception Handler catched; shutting log-core down
[16:43:56] [INFO] received Windows console close event; shutting log-core down
[16:45:16] [INFO] received Windows console close event; shutting log-core down
[16:46:28] [INFO] received Windows console close event; shutting log-core down
[16:48:47] [INFO] received Windows console close event; shutting log-core down
[16:50:44] [INFO] received Windows console close event; shutting log-core down
[16:53:31] [INFO] received Windows console close event; shutting log-core down
[16:55:08] [INFO] received Windows console close event; shutting log-core down
[16:56:52] [INFO] received Windows console close event; shutting log-core down
[16:59:17] [INFO] received Windows console close event; shutting log-core down
[17:00:36] [INFO] received Windows console close event; shutting log-core down
[17:01:55] [INFO] received Windows console close event; shutting log-core down
[17:03:51] [INFO] received Windows console close event; shutting log-core down
[17:05:01] [INFO] received Windows console close event; shutting log-core down
[17:06:52] [ERROR] exception 0XE06D7363 (<unknown>) from Unhandled Exception Handler catched; shutting log-core down
[17:06:53] [INFO] received Windows console close event; shutting log-core down
[17:12:00] [INFO] received Windows console close event; shutting log-core down
[17:14:36] [INFO] received Windows console close event; shutting log-core down
[17:16:30] [INFO] received Windows console close event; shutting log-core down
[17:17:53] [INFO] received Windows console close event; shutting log-core down
[17:32:42] [INFO] received Windows console close event; shutting log-core down
[17:34:42] [INFO] received Windows console close event; shutting log-core down
[19:08:20] [INFO] received Windows console close event; shutting log-core down
[19:11:39] [INFO] received Windows console close event; shutting log-core down
[19:13:49] [INFO] received Windows console close event; shutting log-core down
[19:15:07] [INFO] received Windows console close event; shutting log-core down
[19:17:22] [INFO] received Windows console close event; shutting log-core down
[19:19:34] [INFO] received Windows console close event; shutting log-core down
[19:20:59] [INFO] received Windows console close event; shutting log-core down
[19:30:43] [INFO] received Windows console close event; shutting log-core down
[19:34:12] [INFO] received Windows console close event; shutting log-core down
[19:36:26] [INFO] received Windows console close event; shutting log-core down
[19:40:45] [INFO] received Windows console close event; shutting log-core down
[19:43:19] [INFO] received Windows console close event; shutting log-core down
[19:46:30] [INFO] received Windows console close event; shutting log-core down
[22:49:26] [ERROR] exception 0XE06D7363 (<unknown>) from Unhandled Exception Handler catched; shutting log-core down
[22:49:28] [INFO] received Windows console close event; shutting log-core down
[22:51:27] [INFO] received Windows console close event; shutting log-core down
[22:54:13] [INFO] received Windows console close event; shutting log-core down
[22:56:09] [INFO] received Windows console close event; shutting log-core down
[22:58:24] [INFO] received Windows console close event; shutting log-core down
[23:00:25] [INFO] received Windows console close event; shutting log-core down
[23:01:27] [INFO] received Windows console close event; shutting log-core down
[23:03:15] [INFO] received Windows console close event; shutting log-core down
[23:06:18] [INFO] received Windows console close event; shutting log-core down
[23:10:06] [INFO] received Windows console close event; shutting log-core down
[23:20:30] [INFO] received Windows console close event; shutting log-core down
[23:23:11] [INFO] received Windows console close event; shutting log-core down
[08:46:40] [INFO] received Windows console close event; shutting log-core down
[09:08:10] [INFO] received Windows console close event; shutting log-core down
[09:18:46] [INFO] received Windows console close event; shutting log-core down
[09:21:27] [INFO] received Windows console close event; shutting log-core down
[09:55:11] [INFO] received Windows console close event; shutting log-core down
[21:35:42] [INFO] received Windows console close event; shutting log-core down
[21:49:11] [INFO] received Windows console close event; shutting log-core down
[14:09:01] [ERROR] exception 0XE06D7363 (<unknown>) from Unhandled Exception Handler catched; shutting log-core down
[14:11:01] [INFO] received Windows console close event; shutting log-core down
[14:19:00] [INFO] received Windows console close event; shutting log-core down
[14:21:59] [INFO] received Windows console close event; shutting log-core down
[14:25:42] [INFO] received Windows console close event; shutting log-core down
[20:08:07] [INFO] received Windows console close event; shutting log-core down
[12:12:43] [INFO] received Windows console close event; shutting log-core down
[10:04:12] [INFO] received Windows console close event; shutting log-core down
[11:59:51] [INFO] received Windows console close event; shutting log-core down
[12:02:52] [INFO] received Windows console close event; shutting log-core down
[12:08:31] [INFO] received Windows console close event; shutting log-core down
[12:32:02] [INFO] received Windows console close event; shutting log-core down
[12:34:39] [INFO] received Windows console close event; shutting log-core down
[12:39:52] [INFO] received Windows console close event; shutting log-core down
[14:18:15] [INFO] received Windows console close event; shutting log-core down
[14:21:34] [INFO] received Windows console close event; shutting log-core down
[14:45:51] [INFO] received Windows console close event; shutting log-core down
[18:44:40] [INFO] received Windows console close event; shutting log-core down
[18:47:31] [INFO] received Windows console close event; shutting log-core down
[18:55:01] [INFO] received Windows console close event; shutting log-core down
[19:13:05] [INFO] received Windows console close event; shutting log-core down
[19:16:06] [INFO] received Windows console close event; shutting log-core down
[20:42:54] [INFO] received Windows console close event; shutting log-core down
[20:51:07] [INFO] received Windows console close event; shutting log-core down
[21:13:55] [INFO] received Windows console close event; shutting log-core down
[21:16:56] [INFO] received Windows console close event; shutting log-core down
[21:19:36] [INFO] received Windows console close event; shutting log-core down
[21:21:59] [INFO] received Windows console close event; shutting log-core down
[21:25:26] [INFO] received Windows console close event; shutting log-core down
[11:16:21] [INFO] received Windows console close event; shutting log-core down
[11:17:38] [INFO] received Windows console close event; shutting log-core down
[11:28:42] [INFO] received Windows console close event; shutting log-core down
[11:32:21] [INFO] received Windows console close event; shutting log-core down
[22:00:14] [INFO] received Windows console close event; shutting log-core down
[18:41:21] [INFO] received Windows console close event; shutting log-core down
[18:44:12] [INFO] received Windows console close event; shutting log-core down
[18:56:08] [INFO] received Windows console close event; shutting log-core down
[18:54:59] [INFO] received Windows console close event; shutting log-core down
[18:56:45] [INFO] received Windows console close event; shutting log-core down
[15:54:38] [INFO] received Windows console close event; shutting log-core down
[15:58:56] [INFO] received Windows console close event; shutting log-core down
[16:04:29] [INFO] received Windows console close event; shutting log-core down
[16:07:45] [INFO] received Windows console close event; shutting log-core down
[16:09:03] [INFO] received Windows console close event; shutting log-core down
[16:13:12] [INFO] received Windows console close event; shutting log-core down
[16:18:09] [INFO] received Windows console close event; shutting log-core down
[16:22:31] [INFO] received Windows console close event; shutting log-core down
[16:22:38] [INFO] received Windows console close event; shutting log-core down
[16:24:58] [INFO] received Windows console close event; shutting log-core down
[16:38:58] [INFO] received Windows console close event; shutting log-core down
[16:45:38] [INFO] received Windows console close event; shutting log-core down
[17:04:03] [INFO] received Windows console close event; shutting log-core down
[21:58:39] [INFO] received Windows console close event; shutting log-core down
[22:00:42] [INFO] received Windows console close event; shutting log-core down
[22:03:48] [INFO] received Windows console close event; shutting log-core down
[00:00:25] [INFO] received Windows console close event; shutting log-core down
[00:01:41] [INFO] received Windows console close event; shutting log-core down
[00:05:05] [INFO] received Windows console close event; shutting log-core down
[00:06:19] [INFO] received Windows console close event; shutting log-core down
[00:06:57] [INFO] received Windows console close event; shutting log-core down
[19:23:19] [INFO] received Windows console close event; shutting log-core down
[19:26:24] [INFO] received Windows console close event; shutting log-core down
[19:31:29] [INFO] received Windows console close event; shutting log-core down
[19:36:17] [INFO] received Windows console close event; shutting log-core down
[19:38:23] [INFO] received Windows console close event; shutting log-core down
[19:41:36] [INFO] received Windows console close event; shutting log-core down
[19:44:52] [INFO] received Windows console close event; shutting log-core down
[21:45:01] [INFO] received Windows console close event; shutting log-core down
[21:48:42] [INFO] received Windows console close event; shutting log-core down
[21:54:40] [INFO] received Windows console close event; shutting log-core down
[21:18:05] [INFO] received Windows console close event; shutting log-core down
